user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
mcheckimport,2.514,15.104.587,6008.2,1.312.222,50.503,52.281,7.544,2.994,3.743
corfedeimport,129,1.811.732,14044.4,154.267,1.743,4.580,644,32,12
Max1234-ITA,1.310,995.398,759.8,13.520,11.619,8.783,391,624,5.852
pikappa79,860,367.938,427.8,10.429,7.883,4.245,1.051,1.168,3.701
Alecs01,837,364.147,435.1,36.170,17.233,6.669,5.461,718,11.723
fayor,704,356.877,506.9,3.222,33.893,1.864,926,1.218,3.112
dan980-import,115,355.199,3088.7,218,8.344,216,481,6,14
Dino Michelini,3.609,331.203,91.8,18.635,14.686,1.460,1.253,306,1.841
simone_girardelli,826,322.265,390.2,2.609,6.777,195,1.050,16.616,606
Ale_Zena_IT,1.029,321.784,312.7,1.267,11.326,114,1.343,19.285,550
Ale_Zena_IT-import,169,313.072,1852.5,10.023,546,11,41,12,18
Guido_RL,26,299.248,11509.5,27.206,3,282,29,69,97
DarkSwan_Import,78,293.105,3757.8,28.308,132,244,223,3,4
Pab09,1.257,291.234,231.7,16.438,15.648,1.494,1.553,348,1.556
arcanma,489,280.994,574.6,287,8.187,1.592,271,52,439
aldoct,2.698,270.976,100.4,5.059,16.697,833,150,2.694,990
IlBano,335,257.692,769.2,805,23.243,403,1.163,20.868,296
dgitto,2.051,239.999,117.0,10.064,15.521,716,3.844,228,1.335
fedc,2.215,225.079,101.6,3.619,12.132,7.176,910,319,442
mcheck,719,201.935,280.9,622,2.938,502,613,147,455
corand,626,200.538,320.3,23.913,23,1,8,0,0
Fredie,61,198.804,3259.1,4.633,6.405,5.079,666,2.505,8.526
Karthoo,963,196.735,204.3,15.094,12.125,3.267,1.574,500,1.158
csmggl,702,190.344,271.1,201,9.299,30,209,1,73
dan980,1.401,180.708,129.0,2.907,47.982,1.605,927,437,160
adirricor,821,167.851,204.4,9.084,16.470,847,888,129,1.183
andgas54,471,164.699,349.7,1.846,1.252,6.162,70,63,201
corfede,1.559,161.005,103.3,3.784,14.463,1.199,1.547,251,624
Arlas,150,159.053,1060.4,9.712,8.784,1.007,741,377,746
Sen Atto,310,156.787,505.8,2.909,1.155,4.500,30,259,102
achim becker,1.554,150.769,97.0,2.715,3.720,2.282,562,1.080,5.619
morsi,1.167,150.090,128.6,8.006,3.770,1.663,638,190,331
demon_box,6.262,148.752,23.8,4.223,17.002,2.953,3.671,1.960,4.315
Michele Aquilani,276,143.982,521.7,17.904,479,256,242,0,183
nuvolabianca,443,130.147,293.8,5.031,5.771,1.182,1.800,238,4.594
Veneto_Civici_Import,10,121.921,12192.1,120,2.379,3,292,0,0
gpstracks,432,120.276,278.4,307,4.158,659,155,357,840
sorcrosc,1.048,117.780,112.4,2.492,9.901,1.503,440,26,543
Ride Trail Map,248,110.589,445.9,19.407,208,5,7,7,9
vancori,1.830,108.384,59.2,1.882,4.753,220,371,366,426
josil,157,105.661,673.0,2.065,1.832,3.533,101,76,1.044
Marco_Fix,220,104.934,477.0,12.280,4.872,67,361,58,21
IA1979,400,104.086,260.2,235,2.612,4.294,287,217,1.906
openpablo3,1.327,100.389,75.7,3.332,1.759,1.625,170,751,947
Aury88,1.002,98.859,98.7,4.482,3.544,1.783,763,77,5.170
Elia Z,1.154,95.187,82.5,763,11.299,514,78,61,219
slg,406,94.955,233.9,4.105,1.899,1.264,69,332,83
geopeppe,48,93.309,1943.9,47.456,234,2,15,0,1
Sal73x,2.365,87.259,36.9,4.639,3.965,451,362,172,1.042
Mich74,877,85.432,97.4,4.827,3.759,13,58,1,1
CatenaDiVoltri,348,78.842,226.6,939,2.156,1.090,29,195,473
Pathumthani,5.394,77.804,14.4,1.845,4.219,3.136,1.225,81,1.863
softcake,1.873,76.324,40.7,110,8.798,862,56,88,82
ravanator,245,75.909,309.8,2.625,981,1.121,32,792,307
lorenzog89,1.772,74.671,42.1,2.632,3.483,1.067,479,469,645
giaka,242,73.923,305.5,53,1.207,290,2,19,153
Mokmo31,218,73.649,337.8,7.079,4.334,483,683,6,1.102
Martj9,813,73.559,90.5,2.363,6.249,258,480,368,893
SomeoneElse_Revert,25,71.858,2874.3,125,38,4,3,6,4
Freiheit28,853,71.727,84.1,107,1.341,840,67,1,871
sit_bg,249,71.098,285.5,1.751,28,12,944,0,0
Cristi4n,914,70.646,77.3,3.256,3.763,1.857,685,33,4.131
