user,changesets,total_objects,avg_objects_per_cs,buildings,highways,landuse,amenities,waterways,naturals
demon_box,7.727,156.568,20.3,5.366,22.593,1.926,4.013,2.770,3.182
Pathumthani,4.377,31.197,7.1,578,3.408,639,833,113,256
carths81,3.678,279.138,75.9,491,10.713,3.997,306,349,4.800
landfahrer,3.542,30.819,8.7,1.260,605,2.679,88,72,1.003
bvivi,3.435,40.739,11.9,570,8.589,67,85,434,42
jackthebest,3.139,73.964,23.6,2.455,7.310,610,903,206,851
Danysan95,3.063,31.975,10.4,1.054,8.138,44,530,681,164
mircozorzo,2.754,18.426,6.7,336,4.877,29,942,6,71
aldoct,2.696,300.521,111.5,2.421,21.266,755,425,2.193,882
fedc,2.146,231.374,107.8,3.968,17.007,6.911,1.009,405,687
spietsnaz,2.015,14.516,7.2,201,1.185,320,184,100,384
openpablo3,1.995,141.577,71.0,6.775,2.183,1.788,320,1.282,1.800
select,1.962,46.302,23.6,1.464,4.700,91,771,26,896
cxc,1.953,84.742,43.4,3.402,1.361,431,290,39,340
dgitto,1.942,88.431,45.5,5.009,7.320,464,2.019,135,501
Constable,1.893,37.978,20.1,714,5.998,470,1.179,63,69
PaoloRE1981,1.883,60.148,31.9,726,4.513,2.160,515,1.297,7.270
Marcello Rolli,1.860,7.365,4.0,504,1.359,4,136,0,12
simone_girardelli,1.789,75.269,42.1,906,8.453,142,496,462,252
achim becker,1.628,154.147,94.7,2.957,4.037,3.505,525,1.001,4.896
AlfredoSP,1.600,48.612,30.4,10,14.966,8,7,6,14
vancori,1.582,119.008,75.2,972,5.739,167,461,330,410
corfede,1.545,210.640,136.3,4.774,17.344,3.258,1.283,201,805
alessandro trekking,1.510,18.530,12.3,261,1.086,151,219,30,98
demetrio_m,1.501,23.392,15.6,235,3.695,79,62,129,98
Pab09,1.478,725.808,491.1,99.474,7.029,534,563,222,452
dan980,1.465,1.142.684,780.0,14.208,71.725,1.439,1.743,20.729,938
francoLI,1.426,58.051,40.7,73,316,831,29,19,957
Martj9,1.395,57.310,41.1,2.570,11.221,342,389,97,1.028
TITOTITOTITO,1.292,26.481,20.5,24,2.050,38,61,125,54
LuSirto,1.280,69.069,54.0,756,5.026,634,716,622,653
ratrun,1.237,5.948,4.8,96,1.922,23,25,1,2
Michele Aquilani,1.226,556.926,454.3,70.282,9.152,605,1.591,24,1.381
luschi,1.225,30.930,25.2,539,3.547,303,284,188,123
Lola Fox,1.221,92.990,76.2,184,1.152,1.307,65,478,1.615
Ale_Zena_IT,1.187,240.165,202.3,4.155,14.211,152,1.543,662,170
castagnola,1.179,54.579,46.3,11,6.450,18,2,3,5
mcheckimport,1.175,2.379.811,2025.4,110.001,22.634,27.085,1.944,1.480,4.365
Cascafico,1.148,55.587,48.4,1.564,2.925,94,301,210,383
sorcrosc,1.148,114.897,100.1,1.592,10.216,564,339,47,216
datamove,1.141,22.122,19.4,15,13.230,61,463,4,4
Dino Michelini,1.138,248.737,218.6,7.828,10.522,1.417,599,1.366,961
Franti rise associazione,1.081,31.172,28.8,3.118,778,768,317,4,12
Agh,1.062,16.937,15.9,913,575,17,148,19,491
user_7073950,1.051,14.595,13.9,615,1.784,195,754,40,29
voschix,1.041,57.477,55.2,610,12.160,212,424,311,76
niubii,1.041,37.849,36.4,188,4.078,105,365,119,102
softcake,1.037,53.479,51.6,110,4.687,418,30,85,38
Yiyi (itwikipedia),1.031,29.511,28.6,758,6.358,85,433,14,212
Alecs01,1.003,409.653,408.4,47.921,18.000,6.155,6.215,376,7.117
Francoerbi41,963,172.232,178.8,560,1.364,763,181,9.186,412
morsi,947,133.392,140.9,6.268,3.569,823,653,386,196
BeboPremana,937,24.507,26.2,528,1.502,49,189,48,45
carlo fornaciari,925,29.500,31.9,400,2.619,114,169,257,109
Max1234-ITA,921,333.942,362.6,9.112,7.232,7.233,287,256,2.927
Heinz_V,913,31.686,34.7,6.771,794,1.753,396,86,434
LorenzoPesci,906,10.533,11.6,839,1.146,94,489,4,144
bubix,895,10.636,11.9,470,1.635,44,657,10,108
Gianfranco2014,887,482.172,543.6,30.136,13.735,3.411,394,1.701,1.217
Andrea Musuruane,872,51.290,58.8,1.195,3.454,104,688,21,38
Humus015,872,6.147,7.0,67,77,2,2.228,0,578
fayor,852,547.172,642.2,21.440,48.308,915,1.393,915,1.320
domikdomik,847,36.659,43.3,3.915,4.501,78,273,0,3
Gh0stz0x,846,51.982,61.4,3.488,1.131,82,519,242,873
DnaX,796,34.594,43.5,2.627,2.575,282,336,120,157
Jrachi,789,155.690,197.3,636,5.023,67,75,61,205
IlBano,788,258.977,328.7,21.698,11.773,583,562,13.214,312
lorenzo23622,765,98.399,128.6,921,3.563,4.533,257,1.213,442
consulente_finanziario,760,5.694,7.5,16,883,8,5,1,5
lorenzog89,758,28.891,38.1,671,1.861,376,193,158,187
MapperGo,757,39.388,52.0,2.128,5.023,318,896,34,246
dieterdreist,744,47.485,63.8,2.458,3.086,837,787,91,228
Sal73x,736,18.178,24.7,407,1.607,180,82,86,170
Griphon,733,26.303,35.9,755,2.555,330,1.010,16,131
rondock,723,10.280,14.2,283,689,47,645,25,500
DavideOnOSM,719,1.649,2.3,23,1.395,4,74,3,1
Pucciotrex30,718,17.063,23.8,42,1.766,24,30,35,14
osm_fede,695,2.302,3.3,194,1.109,2,53,1,9
Francesco Niccolini,694,32.516,46.9,209,996,672,28,511,287
padvinder,673,206.493,306.8,7.976,2.850,5.505,43,63,503
frasty,666,103.666,155.7,917,10.104,362,503,291,99
marceg16579,664,6.636,10.0,262,1.082,1,9,17,14
Schröcker,663,18.102,27.3,91,501,52,70,861,151
makermap,656,5.514,8.4,334,270,8,28,0,1
beastdominator,654,76.384,116.8,207,1.175,35,2,4,402
woofz,649,14.916,23.0,250,1.876,155,111,581,53
Freiheit28,645,48.881,75.8,1.060,703,469,55,3,809
AndreaBLSUD,641,5.551,8.7,220,799,21,56,19,5
antonio zurlo,640,14.538,22.7,82,1.676,78,1,2,2
Guidus,635,37.968,59.8,4.518,1.447,110,570,23,252
gemahr108,633,2.952,4.7,29,542,14,29,4,0
LvdT,631,118.341,187.5,2.224,6.202,1.623,524,800,365
kkklllppp,629,67.618,107.5,4.923,7.549,245,857,17,101
Stefano9899,629,2.945,4.7,109,709,5,16,0,2
Fillo,621,4.425,7.1,157,408,134,239,4,89
kaitu,620,50.052,80.7,5.137,2.198,84,543,213,132
lorenzomf97,614,9.762,15.9,104,667,158,45,101,267
maurizioa,613,66.189,108.0,455,4.824,2.008,616,172,3.079
carlobenini,611,10.564,17.3,184,1.769,107,420,5,219
Map47,595,13.023,21.9,402,607,703,106,92,329
